vma,make,vmo,model,category
CHPL,Chaperalle Horse Trailer,,,Trailer
CHPM,"Champion Pneumatic Machinery Co., Inc.",,,Construction
CHPN,"Champion Bus, Inc.",,,Trucks
CHPP,"Chopper City USA, LLC",,,Motorcycle
CHPR,Chaparral,,,Snowmobile
CHPR,"Chaparral Inds., Inc.",,,Snowmobile
CHPT,Chicago Pneumatic Tool Co.,,,Farm
CHPT,Chicago Pneumatic Tool Co.,,,Construction
CHPU,Choppers Unlimited,,,Motorcycle
CHQT,"C & H Quality Trailer Sales, LLC",,,Trailer
CHRE,"Chery Automobile Co., Ltd.",,,Auto
CHRI,"Christianson Inds., Inc.",,,Trailer
CHRI,Snowflite,,,Trailer
CHRM,"Charming Motorcycle Mfg. Co, Ltd. Or Chongqing Charming Motorcycle Mfg. Co., Ltd.",,,Motorcycle
CHRO,"Chromalloy American Corp., Farm Systems Div.",,,Farm
CHRS,Chrysler Boat Co.,,,Trailer
CHRT,"Chariot Vans, Inc.",,,Trucks
CHRV,Chateau Recreational Vehicle Div.,,,Trailer
CHRV,LaStrada,,,Trailer
CHRY,Chrysler,,,Trucks
CHRY,Chrysler,---,Premier (see model under make Eagle),Auto
CHRY,Chrysler,---,Medallion (see model under make Eagle),Auto
CHRY,"Chrysler 200",200,,Auto
CHRY,Chrysler,300,300,Auto
CHRY,Chrysler,ASP,Aspen,Auto
CHRY,Chrysler,CBO,PT Cabrio,Auto
CHRY,Chrysler,CIR,Cirrus,Auto
CHRY,Chrysler,CNC,Concorde,Auto
CHRY,Chrysler,COM,Commander,Auto
CHRY,Chrysler,CON,Conquest (vehicle year 1987 and later),Auto
CHRY,Chrysler,COR,Cordoba,Auto
CHRY,Chrysler,CRF,Crossfire,Auto
CHRY,Chrysler,CRU,PT Cruiser,Auto
CHRY,Chrysler,CVN,Caravan,Auto
CHRY,Chrysler,DYN,Dynasty,Auto
CHRY,Chrysler,ECL,E Class,Auto
CHRY,Chrysler,EXE,Executive Sedan,Auto
CHRY,Chrysler,FAV,Fifth Avenue,Auto
CHRY,Chrysler,GVY,Grand Voyager,Auto
CHRY,Chrysler,INT,Intrepid,Auto
CHRY,Chrysler,IPR,"Imperial (for vehicle years prior to 1955 and for vehicle years 1990-1993; for 1955-1983, see make Imperial)",Auto
CHRY,Chrysler,LAS,Laser,Auto
CHRY,Chrysler,LBN,Le Baron (for vehicle year 1978 or later),Auto
CHRY,Chrysler,LHS,LHS,Auto
CHRY,Chrysler,LID,Lido,Auto
CHRY,Chrysler,LIM,Limousine,Auto
CHRY,Chrysler,NEW,Newport,Auto
CHRY,Chrysler,NY,New Yorker,Auto
CHRY,Chrysler,PCF,Pacifica (Sport Wagon),Auto
CHRY,Chrysler,PRW,Prowler (model years 2001-2002),Auto
CHRY,Chrysler,ROY,Royal,Auto
CHRY,Chrysler,SAL,Salon,Auto
CHRY,Chrysler,SAR,Saratoga,Auto
CHRY,Chrysler,SEB,Sebring,Auto
CHRY,Chrysler,TC,TC,Auto
CHRY,Chrysler,TNC,Town & Country Minivan,Auto
CHRY,Chrysler,TOW,Town & Country,Auto
CHRY,Chrysler,VOY,Voyager,Auto
CHRY,Chrysler,WIN,Windsor,Auto
CHSH,"Chop Shop Customs, Inc.",,,Motorcycle
CHTC,"Chaparral Trailer Co. of Arkansas, Inc.",,,Trailer
CHTH,Cheetah,,,Motorcycle
CHTH,Cheetah Chassis Corp.,,,Trailer
CHTI,"Chart, Inc.",,,Trailer
CHTM,Chatham Enterprises Custom Mfg. & Sales,,,Trailer
CHUB,"Chubbs, Inc.",,,Trailer
CHUC,Chuck Beck Motorsports,SPY,Spyder,Auto
CHUI,Chuio,,,
CHUK,"Chukar, Inc.",,,Trailer
CHUY,Chuy’s C-5 Trailers,,,Trailer
CHVL,Chevallero Motor Home,,,Trucks
CHWF,Chico Welding & Fabrication,,,Trailer
CHYI,Chin Yuan Chi Casting Corp.,,,Trailer
CIAO,Ciao (for reference only; see VESP),,,
CICC,Circle C Manufacturer,,,Trailer
CICU,"Circus City Custom Cycles, Inc.",,,Motorcycle
CIMA,Cimatti,,,Motorcycle
CIMA,City Bike (model of Cimatti),,,Motorcycle
CIMC,"CIMC Heavy Inds., Ltd.",,,Trailer
CIML,Cimline,,,Trailer
CIMR,Cimarron Mfg. Co.,,,Trailer
CIRC,Circle S Star Route,,,Trailer
CIRD,Circle D Trailer,,,Trailer
CIRH,Circle H Horse Trailer,,,Trailer
CIRJ,Circle J Stock Trailer (for reference only; see WTWI),,,
CIRJ,"Western Trailer Works, Inc. (for reference only; see WTWI)",,,
CIRJ,"Circle J Trailers, Inc.",,,Trailer
CIRK,Circle K Kennimore,,,Trailer
CIRM,Circle M Trailers,,,Trailer
CIRR,"Circle R, Inc.",,,Trailer
CIRV,Circle V Horse Trailer,,,Trailer
CIRW,Circle W Trialers,,,Trailer
CISI,Cisitalia (Consorzio Industriale Sportiva Italia),,,Auto
CISI,Cisitalia (Consorzio Industriale Sportiva Italia),202,202,Auto
CITA,Citation Travel Trailer,,,Trailer
CITC,Cit E Cars (Previously Gator Moto; new MCO assigned With new company name),,,Motorcycle
CITI,Citicar (electric car),,,Auto
CITR,Citroen,2CV,2CV,Auto
CITR,Citroen,AM6,AM16,Auto
CITR,Citroen,AX,AX,Auto
CITR,Citroen,D19,DS-19,Auto
CITR,Citroen,D21,DS-21 & D21,Auto
CITR,Citroen,ID9,ID-19,Auto
CITR,Citroen,SM,SM,Auto
CITT,Camp-In Travel Trailers,,,Trailer
CITY,City Dump Trailer,,,Trailer
CIWE,City Welding & Mfg. Co.,,,Trailer
CJGC,"China Jiangmen Group Co., Ltd.",,,Motorcycle
CLAA,Clapper Camper,,,Trailer
CLAB,"B.M. Clark Co., Inc.",,,Trailer
CLAB,"Clark, B.M., Co., Inc.",,,Trailer
CLAC,"Classic Roadsters, Ltd.",,,Auto
CLAC,"Dutchess (Classic Roadsters, Ltd.)",,,Auto
CLAI,"Classic Motor Carriages, Inc. (Hallandale, FL)",,,Auto
CLAM,Clark Mfg. Co.,,,Trailer
CLAN,Clar-Mont Mfg. Co.,,,Trailer
CLAR,Clark Equipment Co.,,,Trucks
CLAR,Clark Equipment Co.,,,Trailer
CLAR,Clark Equipment Co.,,,Farm
CLAR,Clark Equipment Co.,,,Construction
CLAR,"Construction Machinery Div., Clark Equipment Co.",,,Construction
CLAR,"Crane Div. (LIMA), Clark Equipment Co.",,,Construction
CLAS,Classic Trailer Mfg.,,,Trailer
CLAT,"Clayton Homes, Inc.",,,Trailer
CLAT,Expo V,,,Trailer
CLAT,Hamilton House,,,Trailer
CLAX,Claxton,,,Trailer
CLAY,Clay Camper Co.,,,Trailer
CLAZ,Clayton Craft,,,Trailer
CLBR,Cleveland Brothers Equipment Co.,,,Construction
CLCO,Calico Trailers,,,Trailer
CLEA,Cleasby,,,Construction
CLEG,"Cleveland Mfg. Co., Inc. (CMC)",,,Trailer
CLEG,"CMC (Cleveland Mfg. Co., Inc.)",,,Trailer
CLEM,Clement-Braswell,,,Trailer
CLEN,Clenet Coach Works,ROA,Roadster,Auto
CLEV,Cleveland Trencher Co.,,,Construction
CLFX,"Colfax Trailer & Repair, LLC",,,Trailer
CLHM,"Calhome, Inc.",,,Trailer
CLIF,Cliff Office Trailer,,,Trailer
CLIH,"Cliff Hall, Inc.",,,Trailer
CLIH,Turn-A-Port,,,Trailer
CLIN,Cline,,,Trailer
CLIP,Clipper Mfg. Co.,,,Trailer
CLIT,Clinton Engine Corp.,,,Construction
CLIT,Clinton Engines Corp.,,,Motorcycle
CLMB,Columbia,,,Trailer
CLMC,Clemco Inds.,,,Construction
CLMN,Coleman,,,Motorcycle
CLMS,"Classic Motorcycles & Sidecars, Inc.",,,Motorcycle
CLMT,"Clement Industries, Inc.",,,Trailer
CLNA,"Carolina Trailers, LLC",,,Trailer
CLND,Cross Lander,,,Auto
CLND,Cross Lander,244,244X,Auto
CLON,Colonial Flatbed Trailer,,,Trailer
CLOU,Clough Equipment Co.,,,Trailer
CLOV,Cloud Electric Vehicles,,,Motorcycle
CLOV,Cloud Electric Vehicles,,,Auto
CLSC,"Classic Motorworks, Ltd.",,,Motorcycle
CLSF,"Classic Fire, LLC",,,Trucks
CLSS,"Classic Mfg., Inc.",,,Trailer
CLST,Claster Trailer,,,Trailer
CLTI,"Center-Line Trailers, Inc.",,,Trailer
CLTM,Classic Trailers,,,Trailer
CLUA,Clua,,,Auto
CLUB,"Club Car, Inc. (NEV-Neighborhood Electric Vehicle)",XRT,XRT,Auto
CLUM,"Columbia Trailer Co., Ltd.",,,Trailer
CLVA,Calvade Trailer,,,Trailer
CLVR,Cleavers of Bismarck,,,Trailer
CLWS,"Cliff's Welding Service, Inc.",,,Trailer
CLWS,"Cliff's Welding Service, Inc.",,,Farm
CLWX,Clark-Wilcox,,,Trucks
CLXN,"Cellxion, LLC",,,Trailer
CLYP,Clypso Motor Home,,,Trucks
CLYT,"Clay’s Trailer Sales, LLC",,,Trailer
CMAC,Construction Machinery Co.,,,Construction
CMBL,"Campbell Coach Co., Inc.",,,Trailer
CMBL,"CCC, Inc.",,,Trailer
CMCC,California Motorcycle Co.,,,Motorcycle
CMCI,"Charleston Marine Containers, Inc.",,,Trailer
CMCO,Birchwood,,,Trailer
CMCO,Conchemco Homes Group,,,Trailer
CMCO,El Camino,,,Trailer
CMCW,CCM/Clews,,,Motorcycle
CMEC,Central Mine Equipment Co.,,,Trailer
CMEO,Cameo Travel Trailer,,,Trailer
CMFB,"Com-Fab, Inc.",,,Trailer
CMFI,"CMF, Inc.",,,Trailer
CMHM,"CMH Mfg., Inc.",,,Trailer
CMIC,CMI Corp.,,,Construction
CMIL,CMI Load King,,,Trailer
CMMS,"Cummins Engine Co., Inc.",,,Farm
CMMS,"Cummins Engine Co., Inc.",,,Construction
CMOR,C-Mor,,,Trailer
CMPF,Campfire Travel Trailer,,,Trailer
CMPG,"Campagna Moto Sport, Inc.",,,Motorcycle
CMPS,Campsite Mfg. Co.,,,Trailer
CMPT,Compact Equipment Co.,,,Trailer
CMSI,CMSI,,,Motorcycle
CMSU,"Cam Superline, Inc.",,,Trailer
CMTF,Camtourist Fahrzeugbau GMBH,,,Trailer
CMTL,"C & M, LLC",,,Trailer
CMTM,"CMT Mfg., Inc.",,,Trailer
CMWC,"CMWC Trailer Co., Inc.",,,Trailer
CNAD,Cancade Company Ltd.,,,Trailer
CNCG,Continental Cargo,,,Trailer
CNDX,"Condux International, Inc.",,,Trailer
CNLS,"Cornelius Mfg., Inc.",,,Trailer
CNMI,"Contract Mfrs., Inc.",,,Trailer
CNNT,"Conntrail, Inc.",,,Trailer
CNRD,"Concord Products, Inc.",,,Trailer
CNRY,Conroy Inds.,,,Trailer
CNST,"Constructore Trailers, Inc.",,,Trailer
CNTI,"Century Industries, Inc.",,,Trailer
CNTK,Count's Kustom,,,Motorcycle
CNTL,Continental Wheel & Trailer,,,Trailer
CNTM,"Canada Trailers Mfg., Ltd.",,,Trailer
CNTR,Centreville Trailer,,,Trailer
CNTX,Centex,,,Trailer
CNVY,"Convey-All Industries, Inc.",,,Trailer
CNVY,"Convey-All Industries, Inc.",,,Farm
CNVY,"Convey-All Industries, Inc.",,,Construction
CNWD,Conwed Trailer,,,Trailer
COAC,"Coach Craft, Inc.",,,Trailer
COAH,Coachmen Homes Corp.,,,Trailer
COAH,"Coachmen Inds., Inc.",,,Trucks
COAH,Consolidated Leisure,,,Trucks
COAH,Pendleton,,,Trailer
COAI,"Coach House, Inc.",,,Trucks
COAM,Middlebury,,,Trailer
COAS,Coastal Trailer Corp.,,,Trailer
COBM,Cobra Motorcycles,,,Motorcycle
COBR,AC Cobra,,,Auto
COBR,Cobra Travel Trailers,,,Trailer
COBU,"Coburn Inds., Inc.",,,Trailer
COCF,Country Comfort Trailers,,,Trailer
COCH,Cochran Western Corp.,,,Trucks
COCH,Galley Truck,,,Trucks
COCL,Country Clipper,,,Farm
COCO,Concord,,,Motorcycle
COCO,"Conmaco, Inc.",,,Construction
COCP,"Conceptor Inds., Inc.",,,Auto
CODA,"Coda Automotive, Inc. (electric vehicles)",,,Auto
CODY,Cody Motorcycle Trailer,,,Trailer
COEQ,Construction equipment (for use when make is not listed),,,Construction
COEQ,Unlisted construction equipment make,,,Construction
COLB,Columbia Mfg. Co. (subsidiary of Yard-Man Co.; Columbia Commuter),,,Motorcycle
COLB,Imperial (mfd. by Columbia Mfg. Co. for Montgomery Ward),,,Motorcycle
COLB,Motrek (mfd. by Columbia Mfg. Co.),,,Motorcycle
COLB,Western Flyer (mfd. by Columbia),,,Motorcycle
COLB,Yard-Man (see Columbia Mfg. Co.),,,Motorcycle
COLE,Coleman Camping Trailers,,,Trailer
COLF,Colonial Mobile Homes Mfg.,,,Trailer
COLG,Colony Mfg. & Sales Corp.,,,Trailer
COLL,Collins Bus,,,Trucks
COLM,Columbia Tractor Mower,,,Farm
COLN,"Columbia Northwest, Inc.",,,Trailer
COLO,Colorado Mobile Homes,,,Trailer
COLP,"Colt Camper, Inc.",,,Trailer
COLS,"Columbia Mobile Homes, Inc.",,,Trailer
COLT,Colt,,,Trucks
COLT,Colt,,,Trailer
COLT,Colt (for reference only; see SUZI),,,
COLU,Columbine Camp & Coach,,,Trailer
COMA,Comanche Mobile Homes,,,Trailer
COMB,Combs Trailer Mfg. or Combs Mfg.,,,Trailer
COMC,Comanche Trailer Corp.,,,Trailer
COMD,Commander Motor Home,,,Trucks
COME,Comet Corp.,,,Trailer
COMI,Competitive Boat Trailer,,,Trailer
COML,Commerical Structures,,,Trailer
COMM,Com-Camp,,,Trailer
COMN,Comet Construction Co.,,,Trailer
COMO,Comet Mobile Homes,,,Trailer
COMP,Commodore Corp.,,,Trailer
COMP,Ruffian,,,Trailer
COMR,"Commercial Vehicles, Inc.",,,Trailer
COMR,Mobile Lab,,,Trailer
COMT,Comet Riding Mower,,,Farm
COMU,"Commuter Inds., Inc.",,,Motorcycle
COMV,"Commuter Vehicles, Inc.",COM,Comuta-Car,Auto
COMY,Commune,,,Trailer
COMY,"Community Homes, Inc.",,,Trailer
CONA,Constructors and Assoc.,,,Trailer
CONC,Concord Mobile Homes,,,Trailer
CONC,Concord Motor Home,,,Trucks
CONC,Suwanee Mobile Homes,,,Trailer
COND,Condor,,,Motorcycle
CONE,Concord Travelers,,,Trailer
CONF,"Confederate Motor Works, Inc.",,,Motorcycle
CONG,Conestega Mfg. Co.,,,Trailer
CONH,Condor Motor Home,,,Trailer
CONI,Conestoga Mobile Homes,,,Trailer
CONL,"Connell Inds., Inc.",,,Trailer
CONM,"Contempori Mobile Homes, Inc.",,,Trailer
CONN,Connaught,,,Auto
CONO,Condor Coach,,,Trucks
CONP,Consolidated Mobile Inds.,,,Trailer
CONR,"Conner Inds., Inc.",,,Trailer
CONS,Contessa,,,Auto
CONT,Continental,,,Trailer
CONT,Continental,,,Motorcycle
CONT,Continental Motor Home,,,Trucks
CONU,Consulier,GLX,GCP,Auto
CONU,Consulier,GTP,GTP,Auto
CONV,"Continental of Colorado, Inc.",,,Trailer
CONW,"Continental Homes, Inc.",,,Trailer
CONX,"Continental Mfg. Co., Inc.",,,Trailer
CONY,Cony Truck (Japan),,,Trucks
CONZ,Converto,,,Trailer
COOE,Coose Trailer Mfg. Co.,,,Trailer
COOK,Cook Semi Trailer,,,Trailer
COOL,Coolster,,,Motorcycle
COON,Coon Custom Coach Mfg.,,,Trailer
COOP,Cooper,,,Auto
COOP,Cooper (Mexico),,,Motorcycle
COOS,Coos-Bilt Trailers,,,Trailer
COPA,Cooper Alpine Motor Home,,,Trucks
COPC,Copco Steel & Engineering,,,Trailer
COPP,Copperstate Coach Co.,,,Trailer
CORA,"Coras Welding Shop, Inc.",,,Trailer
CORB,Corbitt,,,Trucks
CORD,Cord,,,Auto
CORD,Cord,810,810,Auto
CORG,"Corder Mfg. Co., Inc.",,,Trailer
CORN,"Corn Belt Mfg., Inc.",,,Trailer
CORN,Hawkeye Eagle,,,Trailer
CORO,Corona Coach Co.,,,Trailer
CORO,Coronado Motor Home,,,Trucks
CORR,"Correct Craft, Inc.",,,Trailer
CORS,Corsair Div.,,,Trailer
CORT,Cortez House Trailer,,,Trailer
CORV,Corvette Travel Trailer,,,Trailer
CORY,"Corey Enterprises, Inc.",,,Trailer
COSM,Cosmo,,,Motorcycle
COSU,"Concrete Surfacing Machinery Div., Stewart Inds., Inc.",,,Construction
COT,Corner Utility Trailer,,,Trailer
COTC,Carry-On Trailer Corp.,,,Trailer
COTN,Cotton,,,Motorcycle
COTT,Cottage-Ette Mfg.,,,Trailer
COTZ,Cortez Motor Home,,,Trucks
COUA,Country-Aire Travel Trailer,,,Trailer
COUB,"Country Blacksmith, LLC",,,Trailer
COUI,"Countryside Inds., Inc.",,,Trailer
COUN,Country Squire Travel Trailer,,,Trailer
COUR,Courthouse Camper Trailer,,,Trailer
COVC,Covingtons Cycle City,,,Motorcycle
COVE,Covered Wagon Trailer,,,Trailer
COVT,Covenant or Covenant Cargo,,,Trailer
COWM,Continental World Marine,,,Trailer
COWY,Conway,,,Trailer
COXS,Cox Trailers,,,Trailer
COYN,Coynco Products,,,Trailer
COYO,Coyote Mfg. Corp.,,,Trailer
COZA,Cozad Trailer Sales,,,Trailer
COZY,Cozy Traveler,,,Trailer
CPIU,CPI USA,,,Motorcycle
CPNK,Comptank Corp.,,,Trailer
CPPR,C/P Products Corp.,,,Trucks
CPPR,"Good Life, The",,,Trucks
CPPR,The Good Life,,,Trucks
CPST,CPS Trailer Co.,,,Trailer
CPTC,"Charlie Perkins Trailer Co., Inc.",,,Trailer
CPTN,"Competition Trailers, Inc.",,,Trailer
CPTV,"Competitive Trailers, Inc.",,,Trailer
CRAF,Camp Craft Travel Trailer,,,Trailer
CRAF,Craftsman,,,Trucks
CRAF,"Craftsman (also see make Sears, Roebuck & Co.)",,,Motorcycle
CRAM,"Craftmade Homes, Inc.",,,Trailer
CRAN,Crane & Hoist Operations,,,Construction
CRAW,Crawler Trailer,,,Trailer
CRBN,Cirbin Motors Corp.,,,Motorcycle
CRBN*,Corbin Motors (electric vehicles),MRL,Merlin,Auto
CRBN*,Corbin Motors (electric vehicles),SPW,Sparrow,Auto
CRCF,Crew Chief,,,Trucks
CRCN,Cross Country Mfg.,,,Trailer
CRCO,"Connell Inds., Inc.",,,Trailer
CREE,"Cree Coaches, Inc.",,,Trucks
CREE,"Cree Coaches, Inc.",,,Trailer
CREL,Corbin Electric,,,Motorcycle
CREL,Corbin Motors (electric vehicles),MRL,Merlin,Auto
CREL,Corbin Motors (electric vehicles),SPW,Sparrow,Auto
CREO,"Crest Mobile Homes, Inc.",,,Trailer
CREQ,"Crescent Equipment Co., Inc.",,,Trailer
CRET,Creightons Trailer,,,Trailer
CREX,Cable Crane & Excavator Div.,,,Construction
CRFE,"Crafton Equipment, Inc.",,,Trailer
CRFI,"Craftsman Ind., Inc.",,,Trailer
CRFT,Craftsman,,,Farm
CRGI,Carriage Industries,,,Trailer
CRGK,"Cargo King, LLC",,,Trailer
CRGO,"Cargo Craft, Inc.",,,Trailer
CRGP,Cargo Pro Trailers,,,Trailer
CRGR,Charger,,,Motorcycle
CRGS,"Cargo South, Inc.",,,Trailer
CRI,Chris Craft Corp.,,,Trailer
CRIC,Cricket Corp.,,,Trailer
CRII,"Cronkhite Inds., Inc.",,,Trailer
CRIM,Crimson Homes,,,Trailer
CRIM,English Squire,,,Trailer
CRIT,"Criterion Homes Mfg., Inc.",,,Trailer
CRKA,"Cikira RV, LLC",,,Trailer
CRKG,Carrier King Trailer,,,Trailer
CRKS,"Creekside Products, Inc.",,,Trailer
CRKW,Creek Hill Welding,,,Trailer
CRLT,CRL Trailers,,,Trailer
CRLW,Cross - L Welding,,,Trailer
CRLY,Crowley Mfg.,,,Trailer
CRMT,Car Mate Trailers,,,Trailer
CRNA,"Carnai Trailers, Inc.",,,Trailer
CRNM,"Cornerstone Mfg., LLC",,,Trailer
CRNP,Corn Pro Trailers,,,Trailer
CROE,"Cross Truck Equipment Co., Inc.",,,Trailer
CROF,Crofton Cub,,,Auto
CROH,Cross Hill Mobile Homes,,,Trailer
CROI,Crossland Inds.,,,Trailer
CRON,Crown,,,Trailer
CROR,Crossroads,,,Trailer
CROS,Crosley,,,Trucks
CROS,Crosley,,,Auto
CROT,Croft,,,Trailer
CROW,Crown Line,,,Trailer
CRPM,"Crop Master Trailers, Inc.",,,Trailer
CRPT,"Carpenter Industries, Inc.",,,Trucks
CRRN,"Carron Truck Repair, Ltd.",,,Trailer
CRRS,Carrosserie Industrielle Du Mar or La Carrosserie Industrielle,,,Trucks
CRRS,Carrosserie Industrielle Du Mar or La Carrosserie Industrielle,,,Trailer
CRRV,"Cruiser RV, LLC",,,Trailer
CRSL,"Crosley Trailers, Inc.",,,Trailer
CRSN,"Carsons Mfg., Inc.",,,Trailer
CRSO,Carousel USA (San Antonio Roller Works),,,Trailer
CRST,Crest Trailer,,,Trailer
CRTC,Cartercar Co. (antique vehicle),,,Auto
CRTI,"Carson Trailer, Inc.",,,Trailer
CRTL,C R Trailers,,,Trailer
CRTX,"Car-Tex Trailer Co., Inc.",,,Trailer
CRUI,Cruisaire Motor Corp.,,,Trucks
CRUI,Cruisaire Motor Corp.,,,Trailer
CRUM,Cruzmaster Camper,,,Trailer
CRUS,"Cruise Car, Inc. (solar powered, low speed vehicles)",,,Auto
CRVM,"Country R. V. Mfg., Inc.",,,Trailer
CRVM,CRV,,,Trailer
CRWE,Craft Weld Trailer,,,Trailer
CRWN,Crown Coach or Crown Cargo Coach,,,Trucks
CRYO,Cryogenic Vessel Alternatives,,,Trailer
CRYS,"Crystal Welding, Inc.",,,Trailer
CRZN,Cruz-In (Distributed by Jerrico Intl.),,,Motorcycle
CSCO,"Cusco Fabricators, Inc. or Wastequip Cusco, Inc.",,,Trailer
CSCO,"Wastequip Cusco, Inc. or Cusco Fabricators, Inc.",,,Trailer
CSCT,"California Scooter Co., LLC",,,Motorcycle
CSHM,Cushman,,,Snowmobile
CSMC,Circle Supreme Mfg.,,,Trailer
CSMM,CSM Mfg. Co.,,,Trailer
CSMM,"Lite Line, The",,,Trailer
CSNT,"Crescent Mfg., Inc.",,,Trailer
CSPR,"Clearspring Conversions, Inc.",,,Trailer
CSST,"Cross Trailers, Inc.",,,Trailer
CSTL,"Coastal Metal Fab., Inc.",,,Trailer
CSTM,Coastal Mfg. Co. or Coastal Building Systems,,,Trailer
CSTT,Custom Tank Technology,,,Trailer
CSTW,C & S Trailer World,,,Trailer
CTCC,Coast 2 Coast (C2C),,,Motorcycle
CTCW,CT Coachworks,,,Trucks
CTEC,"Cor-Tech Manufacturing, Inc.",,,Trailer
CTNR,"Cotner Trailers, Inc.",,,Trailer
CTRC,Central Trailer Corp.,,,Trailer
CTRI,Contrail International,,,Trailer
CTRL,"Cottrell, Inc.",,,Trailer
CTRN,"Centurian Boats, Inc.",,,Trailer
CTSI,"Construction Trailer Specialists, Inc.",,,Trailer
CTSV,"CenTech Specialty Vehicles Co., Ltd.",,,Trailer
CTTM,"Cleveland T-Trike Mfg., Inc.",,,Motorcycle
CTTT,Centerline Tank & Trailer Mfg.,,,Trailer
CTTU,"CT & T America, Inc. (electric vehicles)",,,Auto
CTVM,"Creative Mobile Systems, Inc. or Creative Carts, LLC",,,Trailer
CTWI,"California Trailer Works, Inc.",,,Trailer
CUAP,Custom Amusement Products Co.,,,Trailer
CUAS,Cass,,,Trailer
CUAS,Custom Assembly,,,Trailer
CUBC,Cub Cadet Corp.,,,Farm
CUBS,Cubster,,,Auto
CUBT,Cub Camper Trailers,,,Trailer
CUES,"Cues, Inc.",,,Trailer
CUKE,"Cuke, Inc.",,,Trailer
CUKH,Custom King Horse Trailer,,,Trailer
CULL,Cullip Inds.,,,Trailer
CULN,"Cullison Mfg., Inc.",,,Farm
CULP,Culpepper Trailer Co.,,,Trailer
CUMB,Cumberland Coaches,,,Trailer
CUMW,"Custom Motorcycle Works, Inc.",,,Motorcycle
CUNN,Cunningham,,,Auto
CURB,"Curbmaster of America, Inc.",,,Construction
CURM,"Current Motor Company (formerly Electric Vehicle Mfg., LLC)",,,Motorcycle
CURR,"Currahee Trailers, Inc.",,,Trailer
CURT,Curtis,,,Trailer
CUSA,Custom Camper Co.,,,Trailer
CUSB,Custom Bond Mfg. Co.,,,Trailer
CUSB,Space Master,,,Trailer
CUSC,Custom Coach Co.,,,Trailer
CUSE,Custom Engineering,,,Trailer
CUSF,Custom Craft Mfg. Co.,,,Trailer
CUSH,Cushman,,,Trucks
CUSH,Cushman,,,Motorcycle
CUSI,"Custom Homes, Inc.",,,Trailer
CUSL,Custom Plumbing Co.,,,Trailer
CUSM,"Custom Trailers, Inc.",,,Trailer
CUSO,"Custom Frames, Inc.",,,Trailer
CUST,CMW (Custom Metal Works),,,Trailer
CUST,Custom Metal Works (CMW),,,Trailer
CUTM,Custom ATV & Trailer Mfg.,,,Trailer
CUTU,Cushman Turf-OMC Lincoln,,,Farm
CUTW,"Custom Trailer Works, LLC",,,Trailer
CUYL,Cuyler Corp.,,,Motorcycle
CVCO,Cavco Ind.,,,Trailer
CVLO,Cavallo,,,Trailer
CVWE,C & V Welding and Fabricating,,,Trailer
CVWE,Relibilt,,,Trailer
CWBY,"Cowboy Classics Conversions, Inc.",,,Trailer
CWCC,Cowtown Customs and Cobras,,,Trailer
CWCF,CWC Feather-Lite Mfg. Co.,,,Trailer
CWCF,Feather-Lite,,,Trailer
CWCF,"CWC Featherlite Mfg., Inc.",,,Trucks
CWJT,Creekside Welding and Jamar Trailers,,,Trailer
CWPC,"Chopper Works Performance Cycles, LLC",,,Motorcycle
CWTE,"C & W Truck & Equip. Co., Inc.",,,Trailer
CWTL,C & W Trailers,,,Trailer
CWTR,C & W Trailers,,,Trailer
CYCE,"Cy-Corp Enterprises, Inc.",,,Trailer
CYCI,"Cycle Imports, Inc.",,,Motorcycle
CYCK,"Cycle Kamp, Inc.",,,Trailer
CYCL,Motorcycle (for use when make is not listed),,,Motorcycle
CYCL,Unlisted motorcycle make,,,Motorcycle
CYIM,Cycle Imagery,,,Motorcycle
CYNG,"Cynergy Cargo, LLC",,,Trailer
CYOT,"Coyote Mfg., LLC",,,Trailer
CYSC,Cyclescoot,,,Motorcycle
CZ,(Czechoslovakia; also see Jawa/CZ),,,
CZ,CZ (Czechoslovakia; also see Jawa/CZ),,,Motorcycle
CZCV,"Cozy Cove Trailers, LLC",,,Trailer
DABR,"Brown, Dave L., Co. Inc.",,,Construction
DABR,"Dave L. Brown Co., Inc.",,,Construction
DACO,Daco Trailer Corp.,,,Trailer
DAEL,"Daelim Motor Co., Ltd./Daelim Motor USA",,,Motorcycle
DAEW,Daewoo,G2X,G2X,Auto
DAEW,Daewoo,KOR,Korando,Auto
DAEW,Daewoo,LAN,Lanos,Auto
DAEW,Daewoo,LEG,Leganza,Auto
DAEW,Daewoo,NUB,Nubira,Auto
DAEW,Daewoo,U10,U100 (Joint Venture w/Chevrolet),Auto
DAF,DAF,,,Trucks
DAF,DAF,,,Auto
DAFF,Daffin Mfg. Co.,,,Trailer
DAFF,"Irl Daffin Associates, Inc. (for reference only)",,,
DAIH,Daihatsu,,,Trucks
DAIH,Daihatsu,CHA,Charade,Auto
DAIH,Daihatsu,RKY,Rocky,Auto
DAIM,Daimler,,,Auto
DAIN,"D & A Vehicles, Inc.",,,Auto
DAIR,Dairy Equipment Co.,,,Trailer
DAIX,"Daixi Zhenhua Tech Trade Co., Ltd. or Huzhou Daixi Zhenhua Tech Trade Co., Ltd.",,,Motorcycle
DAIX,"Huzhou Daixi Zhenhua Tech Trade Co., Ltd. or Daixi Zhenhua Tech Trade Co., Ltd.",,,Motorcycle
