vma,make,vmo,model,category
ABER,Aberdeen Boat Trailer,,,Trailer
ABFI,ABF Industries,,,Trailer
ABIA,"ABI Leisure, Inc.",,,Trailer
ABTM,Amco Boat Trailer,,,Trailer
ABTR,"A & B Trailer Mfg. Co., Inc.",,,Trailer
ABTS,"About Sales, Inc.",,,Trailer
ABUT,Abu Trailers,,,Trailer
AC,A C (Great Britain),300,3000 ME,Auto
ACAD,Acadian (GM of Canada),BEA,Beaumont Series,Auto
ACAD,Acadian (GM of Canada),CAN,Canso Series,Auto
ACAD,Acadian (GM of Canada),INV,Invader Series,Auto
ACAE,Academy Mobile Home Corp.,,,Trailer
ACAI,"Antique & Collectible Autos, Inc.",,,Auto
ACCI,"AC Customs, Inc.",,,Motorcycle
ACCU,"Accu-Tek, Inc.",,,Trailer
ACE,Ace Trailer of America,,,Trailer
ACEC,Ace Traveler Corp.,,,Trailer
ACEE,"Ace Enterprises, Inc.",,,Farm
ACEI,"Accurate Cycle Engineering, Inc.",,,Motorcycle
ACEM,"Ace Mfg., Co.",,,Trailer
ACGC,American Custom Electric Cars and Golf Carts (NEV) Neighborhood Electric Vehicles,,,Auto
ACKN,"A & C Knight, Ltd.",,,Trailer
ACKN,"Knight, A & C, Ltd.",,,Trailer
ACME,Acme Trailer Mfg. Co.,,,Trailer
ACMM,"Acme Mfg. Co., Inc.",,,Farm
ACOR,Acorn Equipment Corp.,,,Farm
ACRO,Acro Tank Co.,,,Trailer
ACTD,Action Inds.,,,Trailer
ACTE,Active Homes Corp.,,,Trailer
ACTE,Homecraft,,,Trailer
ACTO,"Acton Mobile Inds., Inc.",,,Trailer
ACTV,"Activity Trailer, LLC",,,Trailer
ACUR,Acura,,,Trucks
ACUR,Acura,ATL,TL,Auto
ACUR,Acura,CL,CL (sport coupe),Auto
ACUR,Acura,CSX,CSX,Auto
ACUR,Acura,EL,EL (Import from Canada),Auto
ACUR,Acura,ILX,ILX,Auto
ACUR,Acura,INT,Integra,Auto
ACUR,Acura,LEG,Legend,Auto
ACUR,Acura,MDX,MDX,Auto
ACUR,Acura,NSX,NSX,Auto
ACUR,Acura,RDX,RDX,Auto
ACUR,Acura,RL,RL,Auto
ACUR,Acura,RLX,RLX,Auto
ACUR,Acura,RSX,RSX,Auto
ACUR,Acura,SLX,SLX (sport utility),Auto
ACUR,Acura,TSX,TSX,Auto
ACUR,Acura,VIG,Vigor,Auto
ACUR,Acura,ZDX,ZDX,Auto
ACYL,A1 Cycles,,,Motorcycle
